year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2022,Kharif,MADHYA PRADESH,Umaria,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,33000.0,14.0,2.0,6.0,6.0,660.0,1980.0,1980.0,80,AGRICULTURE INSURANCE COMPANY,3960.0,4620.0,85.71428571428571,14.000000000000002
2021,Rabi,Haryana,Sonipat,Wheat,Cereals,Agriculture,1,67460.0,6.0,1.5,2.25,2.25,1011.9,1517.85,1517.85,90,RELIANCE GENERAL INSURANCE CO. LTD.,3035.7,4047.6,75.0,6.0
2019,Kharif,Andhra Pradesh,Guntur,Paddy (Dhan),Cereals,Agriculture,1,80000.0,4.0,2.0,1.0,1.0,1600.0,800.0,800.0,80,SBI GENERAL INSURANCE,1600.0,3200.0,50.0,4.0
2019,Kharif,Andhra Pradesh,Guntur,Black Gram (Urad),Pulses,Agriculture,1,35000.0,24.69,2.0,11.345,11.345,700.0,3970.75,3970.75,80,SBI GENERAL INSURANCE,7941.5,8641.5,91.89955447549615,24.69
2019,Kharif,Andhra Pradesh,Guntur,Sugarcane - Ratoon,Sugar and Starch Crops,Horticulture & Commercial,1,100000.0,5.88,5.0,0.44,0.44,5000.0,440.0,440.0,90,SBI GENERAL INSURANCE,880.0,5880.0,14.965986394557824,5.88
2019,Kharif,Andhra Pradesh,Guntur,Turmeric,Condiments and Spices,Horticulture & Commercial,1,200000.0,5.88,5.0,0.44,0.44,10000.0,880.0,880.0,80,SBI GENERAL INSURANCE,1760.0,11760.0,14.965986394557824,5.88
2019,Kharif,Andhra Pradesh,Anantapur,Paddy (Dhan),Cereals,Agriculture,1,55000.0,2.65,2.0,0.325,0.325,1100.0,178.75,178.75,80,SBI GENERAL INSURANCE,357.5,1457.5,24.528301886792452,2.65
2019,Kharif,Andhra Pradesh,Anantapur,Pigeon Pea (Red Gram/Arhar/Tur),Pulses,Agriculture,1,30000.0,26.86,2.0,12.43,12.43,600.0,3729.0,3729.0,80,SBI GENERAL INSURANCE,7458.0,8058.0,92.55398361876395,26.86
2019,Kharif,Andhra Pradesh,Anantapur,Cotton (Kapas) - RF,Fiber Crops,Horticulture & Commercial,1,60000.0,11.76,5.0,3.38,3.38,3000.0,2028.0,2028.0,80,SBI GENERAL INSURANCE,4056.0,7056.0,57.48299319727891,11.76
2019,Kharif,Andhra Pradesh,Anantapur,Sunflower (Suryamukhi),Oilseeds,Agriculture,1,30000.0,17.83,2.0,7.915,7.915,600.0,2374.5,2374.5,80,SBI GENERAL INSURANCE,4749.0,5349.0,88.78295008412788,17.83
2018,Rabi,Haryana,Yamunanagar,Sunflower (Suryamukhi),Oilseeds,Agriculture,1,39000.0,10.54,1.5,4.52,4.52,585.0,1762.8,1762.8,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,3525.6,4110.6,85.76850094876659,10.540000000000001
2018,Rabi,Haryana,Yamunanagar,Wheat,Cereals,Agriculture,1,66500.0,3.32,1.5,0.91,0.91,997.5,605.15,605.15,90,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,1210.3,2207.8,54.81927710843373,3.32
